108	the-reader	src/reader.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly equal: | examples/the-reader/the-reader.js:178:8 {
109	the-reader	src/reader.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly equal: | examples/the-reader/the-reader.js:178:8 {
110	the-reader	src/profile.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/the-reader/the-reader.js:145:8 {
111	the-reader	src/reader.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/the-reader/the-reader.js:104:8 {
112	your-copy	src/publish.js	status 1 | TypeError: Cannot read properties of undefined (reading 'lastIndexOf') | examples/your-copy/your-copy.js:42:13
113	your-copy	src/publish.js	status 1 | AssertionError [ERR_ASSERTION]: every kept file verifies under her key | examples/your-copy/your-copy.js:50:43 {
114	your-copy	src/index.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/your-copy/your-copy.js:107:8 {
115	your-copy	src/reader.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/your-copy/your-copy.js:67:8 {
116	publish-interface	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: PUT /alice/index | examples/publish-interface/publish-interface.js:23:31
117	publish-interface	src/publish.js	status 1 | TypeError: Cannot read properties of undefined (reading 'keys') | examples/publish-interface/publish-interface.js:86
118	publish-interface	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly equal: | examples/publish-interface/publish-interface.js:93:8 {
119	publish-interface	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: PUT /alice/posts/8 | examples/publish-interface/publish-interface.js:23:31
120	publish-interface	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: PUT /alice/profile | examples/publish-interface/publish-interface.js:23:31
121	publish-interface	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: PUT /alice/media/2uj_-mLW_EdbPwNoTqBAmTxWXfi2Iv3TwsqHANa9mYI | examples/publish-interface/publish-interface.js:23:31
122	publish-interface	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: PUT /alice/index | examples/publish-interface/publish-interface.js:23:31
123	publish-interface	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly equal: | examples/publish-interface/publish-interface.js:169:69 {
124	publish-interface	src/publish.js	status 1 | AssertionError [ERR_ASSERTION]: a claim writes both | examples/publish-interface/publish-interface.js:53:8 {
125	posts-and-targets	src/reader.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/posts-and-targets/posts-and-targets.js:84:8 {
126	posts-and-targets	src/hub.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/posts-and-targets/posts-and-targets.js:92:8 {
127	posts-and-targets	src/reader.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/posts-and-targets/posts-and-targets.js:153:8 {
128	posts-and-targets	src/index.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/posts-and-targets/posts-and-targets.js:128:8 {
129	posts-and-targets	src/reader.js	status 1 | AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: | examples/posts-and-targets/posts-and-targets.js:178:8 {
